City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Pointe Michel,DM,2021-10-22 06:45:53,15.25,-61.3833,81.18,71,14,21.03
134,Alegrete,BR,2021-10-22 06:45:54,-29.7831,-55.7919,52.92,89,0,8.23
135,Portland,US,2021-10-22 06:42:30,45.5234,-122.6762,55.98,94,90,1.01
136,Vila Franca Do Campo,PT,2021-10-22 06:45:55,37.7167,-25.4333,63.01,76,100,4.41
137,Kapoeta,SS,2021-10-22 06:45:55,4.7717,33.5903,88.05,40,14,12.68
138,Codrington,AU,2021-10-22 06:45:56,-38.2667,141.9667,55.45,95,99,7.47
139,Jiamusi,CN,2021-10-22 06:44:22,46.8333,130.35,49.82,33,20,10.6
140,Coquimbo,CL,2021-10-22 06:45:56,-29.9533,-71.3436,53.33,87,0,3.44
141,Estelle,US,2021-10-22 06:45:57,29.8458,-90.1067,75.18,85,90,0.0
142,Fortuna,US,2021-10-22 06:45:57,40.5982,-124.1573,57.42,74,90,3.0
143,Port Elizabeth,ZA,2021-10-22 06:44:19,-33.918,25.5701,67.1,82,0,4.61
144,Kysyl-Syr,RU,2021-10-22 06:45:58,63.8986,122.7617,31.44,84,100,6.4
145,Ponta Do Sol,PT,2021-10-22 06:45:59,32.6667,-17.1,70.72,65,20,4.5
146,Puerto Baquerizo Moreno,EC,2021-10-22 06:42:33,-0.9,-89.6,69.04,88,46,10.04
147,Grindavik,IS,2021-10-22 06:45:59,63.8424,-22.4338,37.87,93,90,12.66
148,Ixtapa,MX,2021-10-22 06:46:00,20.7,-105.2,76.33,96,86,1.86
149,Severo-Kurilsk,RU,2021-10-22 06:46:00,50.6789,156.125,38.14,75,83,9.01
150,Daru,PG,2021-10-22 06:46:01,-9.0763,143.2092,83.84,67,78,10.38
151,Irece,BR,2021-10-22 06:46:01,-11.3042,-41.8558,70.27,85,100,4.74
152,Martapura,ID,2021-10-22 06:46:02,-3.4167,114.85,89.69,62,40,9.22
153,Lucapa,AO,2021-10-22 06:46:03,-8.4192,20.7447,70.23,88,100,3.96
154,Jamestown,US,2021-10-22 06:46:03,42.097,-79.2353,54.99,95,90,7.0
155,Saldanha,ZA,2021-10-22 06:46:04,-33.0117,17.9442,59.05,78,100,22.44
156,Coos Bay,US,2021-10-22 06:46:05,43.3665,-124.2179,55.92,100,90,12.66
157,Jieshi,CN,2021-10-22 06:46:05,22.8134,115.8257,66.94,76,100,12.88
158,Laguna,US,2021-10-22 06:46:06,38.421,-121.4238,66.7,90,75,3.44
159,Saskylakh,RU,2021-10-22 06:46:07,71.9167,114.0833,-5.19,100,95,1.9
160,Nowy Dwor Gdanski,PL,2021-10-22 06:46:07,54.2131,19.1177,46.15,71,100,21.07
161,Barrow,US,2021-10-22 06:46:08,71.2906,-156.7887,28.42,93,90,6.91
162,Hazorasp,UZ,2021-10-22 06:46:09,41.3194,61.0742,49.84,30,18,5.91
163,Cuamba,MZ,2021-10-22 06:46:10,-14.8031,36.5372,84.9,35,12,4.18
164,Salamanca,ES,2021-10-22 06:46:10,40.8333,-6.0,47.62,89,0,10.02
165,Eyrarbakki,IS,2021-10-22 06:46:11,63.863,-21.1481,35.65,79,100,10.13
166,Svetlyy,RU,2021-10-22 06:46:11,54.675,20.1347,46.45,73,100,28.43
167,Neusiedl Am See,AT,2021-10-22 06:46:12,47.9357,16.8325,56.98,71,100,7.74
168,San Carlos,VE,2021-10-22 06:46:13,9.6612,-68.5827,71.37,92,16,2.46
169,Filadelfia,US,2021-10-22 06:44:10,39.9523,-75.1638,66.87,77,20,1.99
170,Fairbanks,US,2021-10-22 06:46:14,64.8378,-147.7164,35.31,86,1,0.0
171,Mount Gambier,AU,2021-10-22 06:46:15,-37.8333,140.7667,58.91,82,90,14.97
172,Riyadh,SA,2021-10-22 06:45:55,24.6877,46.7219,77.14,27,0,4.45
173,Sanchursk,RU,2021-10-22 06:46:15,56.9413,47.2499,51.6,78,100,16.35
174,Novikovo,RU,2021-10-22 06:46:16,51.1537,37.8879,54.34,71,100,17.83
175,Nioro,GM,2021-10-22 06:46:17,13.35,-15.75,75.52,93,100,3.74
176,Geraldton,AU,2021-10-22 06:46:17,-28.7667,114.6,73.81,49,0,20.71
177,Vilhena,BR,2021-10-22 06:46:17,-12.7406,-60.1458,70.56,95,100,3.02
178,Evensk,RU,2021-10-22 06:46:18,61.95,159.2333,5.99,78,6,6.58
179,Burayevo,RU,2021-10-22 06:46:18,55.8407,55.4083,44.56,100,100,13.53
180,La Ronge,CA,2021-10-22 06:45:11,55.1001,-105.2842,34.05,51,1,5.75
181,Ochakiv,UA,2021-10-22 06:46:19,46.6128,31.5498,55.58,65,12,9.08
182,East London,ZA,2021-10-22 06:46:20,-33.0153,27.9116,68.94,88,20,4.61
183,Le Port,RE,2021-10-22 06:46:20,-20.9373,55.2919,81.61,71,26,6.44
184,Rio Grande,BR,2021-10-22 06:46:21,-32.035,-52.0986,58.62,86,0,3.6
185,Sechura,PE,2021-10-22 06:46:21,-5.5569,-80.8222,66.02,81,100,8.59
186,Zhangjiakou,CN,2021-10-22 06:46:21,40.81,114.8794,50.27,27,0,1.59
187,Vostok,RU,2021-10-22 06:46:22,46.4856,135.8833,33.75,69,70,6.42
188,Talnakh,RU,2021-10-22 06:46:22,69.4865,88.3972,15.33,98,100,4.16
189,Dano,BF,2021-10-22 06:46:23,11.15,-3.0667,77.23,73,43,4.83
190,Champerico,GT,2021-10-22 06:46:23,14.3,-91.9167,81.36,85,100,5.35
191,Praia Da Vitoria,PT,2021-10-22 06:46:24,38.7333,-27.0667,64.76,94,40,9.75
192,San Quintin,MX,2021-10-22 06:46:14,30.4833,-115.95,63.21,84,57,10.16
193,Sioux Lookout,CA,2021-10-22 06:46:24,50.1001,-91.917,35.67,80,90,4.61
194,San Andres,CO,2021-10-22 06:46:25,12.5847,-81.7006,82.42,83,75,5.75
195,Northampton,US,2021-10-22 06:46:25,40.8754,-75.2499,62.78,84,7,1.01
196,Shieli,KZ,2021-10-22 06:46:26,44.1667,66.75,46.87,39,100,10.04
197,Mehamn,NO,2021-10-22 06:46:26,71.0357,27.8492,35.78,65,100,20.02
198,Half Moon Bay,US,2021-10-22 06:45:11,37.4636,-122.4286,66.02,87,90,1.99
199,Taybad,IR,2021-10-22 06:42:25,34.74,60.7756,52.25,31,0,19.39
200,Port Hawkesbury,CA,2021-10-22 06:46:27,45.6169,-61.3485,55.58,93,90,1.99
201,Lebu,CL,2021-10-22 06:46:28,-37.6167,-73.65,46.47,85,3,10.74
202,Magrath,CA,2021-10-22 06:43:17,49.4167,-112.8686,39.52,75,96,2.3
203,Kushiro,JP,2021-10-22 06:46:29,42.975,144.3747,47.35,87,75,3.44
204,San Patricio,US,2021-10-22 06:46:29,28.017,-97.5169,76.84,81,6,5.01
205,Cidreira,BR,2021-10-22 06:46:30,-30.1811,-50.2056,60.31,92,3,4.65
206,Capao Da Canoa,BR,2021-10-22 06:46:30,-29.7456,-50.0097,60.44,85,0,3.91
207,Biak,ID,2021-10-22 06:46:31,-0.9131,122.8766,80.85,75,100,5.55
208,Okha,RU,2021-10-22 06:46:31,53.5739,142.9478,34.48,85,37,11.5
209,Natal,BR,2021-10-22 06:42:42,-5.795,-35.2094,79.45,89,40,4.61
210,Provideniya,RU,2021-10-22 06:46:32,64.3833,-173.3,28.51,64,75,8.95
211,Dickson,US,2021-10-22 06:43:38,36.077,-87.3878,53.35,93,75,0.0
212,Belaya Gora,RU,2021-10-22 06:46:32,68.5333,146.4167,-7.69,94,60,1.81
213,Montrose,US,2021-10-22 06:45:37,38.4166,-108.2673,35.94,38,36,1.83
214,Korla,CN,2021-10-22 06:46:33,41.7597,86.1469,64.18,20,3,14.29
215,Basco,PH,2021-10-22 06:46:33,20.4487,121.9702,81.1,80,60,26.93
216,Hasaki,JP,2021-10-22 06:46:34,35.7333,140.8333,54.28,89,100,19.91
217,Avarua,CK,2021-10-22 06:46:34,-21.2078,-159.775,71.65,64,75,9.22
218,Slonim,BY,2021-10-22 06:46:35,53.0867,25.3219,47.03,67,87,18.77
219,Los Llanos De Aridane,ES,2021-10-22 06:46:35,28.6585,-17.9182,69.55,74,75,11.01
220,Neuquen,AR,2021-10-22 06:46:36,-38.9516,-68.0591,53.49,50,0,9.22
221,Ahipara,NZ,2021-10-22 06:46:36,-35.1667,173.1667,60.58,92,100,15.95
222,Ibra,OM,2021-10-22 06:46:37,22.6906,58.5334,87.19,33,6,2.48
223,Brownsville,US,2021-10-22 06:46:37,25.9018,-97.4975,79.92,90,1,3.44
224,Souillac,MU,2021-10-22 06:46:38,-20.5167,57.5167,80.98,69,75,16.11
225,Wanxian,CN,2021-10-22 06:46:38,30.8039,108.3897,69.78,51,100,2.62
226,Tomatlan,MX,2021-10-22 06:46:11,19.9333,-105.25,76.17,96,21,2.13
227,Diffa,NE,2021-10-22 06:46:39,13.3154,12.6113,85.28,49,17,9.19
228,Copiapo,CL,2021-10-22 06:43:16,-27.3667,-70.3333,51.49,65,0,1.07
229,Galesong,ID,2021-10-22 06:46:40,-5.3166,119.3661,89.62,70,71,13.69
230,Tiksi,RU,2021-10-22 06:46:40,71.6872,128.8694,7.25,96,100,5.44
231,Magaria,NE,2021-10-22 06:46:40,12.9983,8.9099,83.91,41,7,3.8
232,Kozluk,TR,2021-10-22 06:46:41,38.1938,41.4885,57.99,20,0,2.26
233,Tuktoyaktuk,CA,2021-10-22 06:46:41,69.4541,-133.0374,28.67,83,5,10.18
234,Pemangkat,ID,2021-10-22 06:46:42,1.1667,108.9667,76.46,88,100,4.88
235,Cacu,BR,2021-10-22 06:46:42,-18.5567,-51.1308,69.4,69,2,2.89
236,Qaqortoq,GL,2021-10-22 06:46:43,60.7167,-46.0333,32.5,59,100,3.4
237,Nago,JP,2021-10-22 06:46:43,26.5881,127.9761,75.27,60,100,18.61
238,Palmer,US,2021-10-22 06:43:34,42.1584,-72.3287,61.41,85,90,1.01
239,Airai,TL,2021-10-22 06:46:44,-8.9266,125.4092,76.51,50,100,3.11
240,Lethem,GY,2021-10-22 06:46:45,3.3803,-59.7968,74.61,86,100,1.9
241,Mount Isa,AU,2021-10-22 06:46:45,-20.7333,139.5,103.77,12,40,6.91
242,Key Largo,US,2021-10-22 06:46:45,25.0865,-80.4473,80.01,80,72,12.15
243,Xuddur,SO,2021-10-22 06:46:46,4.1213,43.8894,82.44,57,8,6.35
244,Yellowknife,CA,2021-10-22 06:46:46,62.456,-114.3525,42.42,80,1,16.11
245,Port Shepstone,ZA,2021-10-22 06:46:47,-30.7414,30.455,74.89,63,100,11.7
246,Abnub,EG,2021-10-22 06:46:47,27.2696,31.1511,66.42,50,3,15.41
247,Santiago,CL,2021-10-22 06:43:50,-33.4569,-70.6483,60.85,63,90,6.91
248,Avera,US,2021-10-22 06:46:48,33.194,-82.5271,66.25,84,77,8.05
249,Troitskiy,RU,2021-10-22 06:46:49,57.0603,63.7481,35.26,98,100,9.89
250,Auriflama,BR,2021-10-22 06:46:49,-20.6856,-50.5547,63.25,63,0,7.58
251,Taoudenni,ML,2021-10-22 06:46:50,22.6783,-3.9836,72.36,38,0,11.54
252,Kavieng,PG,2021-10-22 06:46:50,-2.5744,150.7967,82.56,72,100,4.61
253,Hirara,JP,2021-10-22 06:46:50,24.8,125.2833,73.26,83,75,18.41
254,Krasnoye,UA,2021-10-22 06:46:52,49.9145,24.6134,52.95,62,59,15.9
255,Upernavik,GL,2021-10-22 06:46:52,72.7868,-56.1549,19.87,90,100,9.17
256,Te Anau,NZ,2021-10-22 06:46:53,-45.4167,167.7167,53.38,84,88,0.76
257,Gainesville,US,2021-10-22 06:41:56,29.6516,-82.3248,66.09,88,1,0.0
258,Burnie,AU,2021-10-22 06:46:54,-41.0667,145.9167,57.94,93,100,8.77
259,Charlestown,AU,2021-10-22 06:46:54,-32.95,151.6667,72.07,76,0,5.99
260,Gimli,CA,2021-10-22 06:46:55,50.6336,-96.9907,33.82,86,97,6.91
261,Tutubigan,PH,2021-10-22 06:46:55,11.8397,125.0614,79.93,89,100,5.44
262,Disna,BY,2021-10-22 06:46:56,55.568,28.1971,45.57,66,100,24.76
263,Dingle,PH,2021-10-22 06:46:56,10.9995,122.6711,82.2,83,100,10.13
