City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
253,Qinhuangdao,CN,39.9317,119.5883,62.46,41,91,8.61,overcast clouds
254,Melilla,ES,35.2937,-2.9383,64.78,77,40,6.91,scattered clouds
255,Zhuhai,CN,22.2769,113.5678,82.78,78,40,12.66,scattered clouds
256,Juneau,US,58.3019,-134.4197,44.6,92,90,8.99,moderate rain
257,Fort Morgan,US,40.2503,-103.8,50.81,45,40,12.66,scattered clouds
258,Bambanglipuro,ID,-7.95,110.2833,84.09,75,98,11.79,overcast clouds
259,San Pedro,PH,14.35,121.0167,84.31,77,75,6.91,broken clouds
260,Auki,SB,-8.7676,160.7034,84.99,68,91,3.78,overcast clouds
261,Zyryanka,RU,65.75,150.85,8.28,85,27,7.81,scattered clouds
262,Ketchikan,US,55.3422,-131.6461,43.27,81,75,10.36,light rain
263,Maniitsoq,GL,65.4167,-52.9,31.1,51,97,6.69,overcast clouds
264,Henties Bay,NA,-22.116,14.2845,59.86,75,16,3.13,few clouds
265,Sisimiut,GL,66.9395,-53.6735,23.74,78,100,6.78,overcast clouds
266,Banda Aceh,ID,5.5577,95.3222,82.94,73,48,2.33,scattered clouds
267,Wamba,NG,8.9333,8.6,71.85,95,32,0.63,light rain
268,Visnes,NO,59.3556,5.2242,56.57,100,90,20.71,moderate rain
269,Narsaq,GL,60.9167,-46.05,26.01,60,58,6.08,broken clouds
270,Santo Antonio Do Amparo,BR,-20.9464,-44.9189,65.5,92,100,5.91,moderate rain
271,Edgewater,US,28.9889,-80.9023,71.01,65,37,4.18,scattered clouds
272,Puquio,PE,-14.7,-74.1333,53.15,57,14,3.47,few clouds
273,Atlanta,US,33.749,-84.388,60.04,72,1,1.99,clear sky
274,Charters Towers,AU,-20.1,146.2667,96.49,22,0,13.47,clear sky
275,Quelimane,MZ,-17.8786,36.8883,74.82,75,76,10.47,light rain
276,Chupaca,PE,-12.0667,-75.2833,51.58,73,26,4.56,scattered clouds
277,Ternate,ID,0.8,127.4,86.25,65,88,6.08,overcast clouds
278,Russell,US,32.3502,-85.1999,65.48,80,96,6.73,overcast clouds
279,Kabompo,ZM,-13.5927,24.2008,65.07,68,81,2.71,light rain
280,Butaritari,KI,3.0707,172.7902,82.36,68,100,5.75,overcast clouds
281,Axim,GH,4.8699,-2.2405,76.44,90,19,4.32,light rain
282,Kutum,SD,14.2,24.6667,67.15,20,20,6.53,few clouds
283,Hobyo,SO,5.3505,48.5268,80.8,68,5,0.31,light rain
284,Tommot,RU,58.9564,126.2925,38.26,77,100,9.86,overcast clouds
285,Byron Bay,AU,-28.65,153.6167,91.36,62,39,18.9,scattered clouds
286,Tecoanapa,MX,16.5167,-98.75,79.29,85,2,4.41,clear sky
287,Cambridge,CA,43.3601,-80.3127,48.69,91,1,3.44,clear sky
288,Balabac,PH,7.9868,117.0645,83.93,78,100,17.16,moderate rain
289,Sikasso,ML,10.9167,-7.0,77.58,75,100,4.5,overcast clouds
290,Fortuna,US,40.5982,-124.1573,59.18,68,1,0.0,clear sky
291,Boundiali,CI,9.5217,-6.4869,72.23,90,45,4.07,scattered clouds
292,Porto Torres,IT,40.835,8.3972,59.18,76,100,6.44,overcast clouds
293,Le Port,RE,-20.9373,55.2919,78.89,76,5,11.61,clear sky
294,Oussouye,SN,12.485,-16.5469,80.69,83,69,4.9,broken clouds
295,Vedasandur,IN,10.5333,77.95,80.55,71,100,3.0,overcast clouds
296,Shemordan,RU,56.1856,50.3972,38.21,89,100,15.01,overcast clouds
297,Porto Santo,PT,33.072,-16.3415,66.11,82,40,3.44,scattered clouds
298,Naryan-Mar,RU,67.6713,53.087,19.94,94,100,11.16,overcast clouds
299,Monrovia,LR,6.3005,-10.7969,76.75,88,93,4.56,moderate rain
300,Zabolotovka,RU,50.2737,39.3147,36.16,91,78,6.24,broken clouds
301,Mahebourg,MU,-20.4081,57.7,77.25,88,40,5.75,scattered clouds
302,Victor Harbor,AU,-35.5667,138.6167,73.49,91,85,14.45,moderate rain
303,Pionerskiy,RU,54.9508,20.2275,55.24,92,100,18.41,overcast clouds
304,Lagoa,PT,39.05,-27.9833,67.06,72,100,25.32,overcast clouds
305,Mogzon,RU,51.7435,111.9606,44.67,46,46,1.48,scattered clouds
306,Ahipara,NZ,-35.1667,173.1667,64.51,84,81,7.99,broken clouds
307,Namtsy,RU,62.7161,129.6658,33.91,96,100,6.24,light rain
308,Tateyama,JP,34.9833,139.8667,74.14,62,10,13.96,clear sky
309,Miri,MY,4.4148,114.0089,78.94,94,40,10.36,scattered clouds
310,Evensk,RU,61.95,159.2333,13.87,93,100,4.34,overcast clouds
311,Villa Bruzual,VE,9.3328,-69.1208,71.55,98,100,1.74,overcast clouds
