City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
639,Salinas,US,67.39,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
646,Longkou,CN,62.73,overcast clouds,37.6508,120.3286,Pai Hotel Yantai Longkou City Heping Road
647,Bungu,TZ,74.46,broken clouds,-7.6337,39.0582,JaJa Lodge
649,Beirut,LB,72.37,broken clouds,33.8889,35.4944,"Crowne Plaza Beirut, an IHG Hotel"
654,Belmonte,BR,73.9,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
659,Warri,NG,74.91,broken clouds,5.5167,5.75,BON Hotel Delta
665,Darnah,LY,68.67,scattered clouds,32.767,22.6367,فندق الفردوس
668,Tolaga Bay,NZ,63.36,overcast clouds,-38.3667,178.3,Tolaga Bay Motel
669,Diego De Almagro,CL,63.07,clear sky,-26.3667,-70.05,hotel luna del desierto
671,Guerrero Negro,MX,70.16,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
674,Rawson,AR,66.61,clear sky,-43.3002,-65.1023,Hosteria Sampedro
683,Houston,US,69.84,scattered clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
685,Acari,PE,67.93,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
687,Aripuana,BR,73.06,overcast clouds,-9.1667,-60.6333,
688,Virginia Beach,US,66.25,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
693,Conde,BR,74.66,clear sky,-7.2597,-34.9075,Pousada Beija Flor
